Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,asymmetric,0.01,0.45442348562807117
75% Corpus,10,asymmetric,0.31,0.45305906518709715
75% Corpus,10,asymmetric,0.61,0.43316253649443015
75% Corpus,10,asymmetric,0.9099999999999999,0.41639749803586296
75% Corpus,10,asymmetric,symmetric,0.4307315040095559
100% Corpus,2,0.01,0.01,0.37689921917185054
100% Corpus,2,0.01,0.31,0.36818506236473814
100% Corpus,2,0.01,0.61,0.36290423616684825
100% Corpus,2,0.01,0.9099999999999999,0.374487889576029
100% Corpus,2,0.01,symmetric,0.3629042361668482
100% Corpus,2,0.31,0.01,0.39387644583274384
100% Corpus,2,0.31,0.31,0.36499373296939386
100% Corpus,2,0.31,0.61,0.3765781349484151
100% Corpus,2,0.31,0.9099999999999999,0.374487889576029
100% Corpus,2,0.31,symmetric,0.3765781349484151
100% Corpus,2,0.61,0.01,0.38409548963738555
100% Corpus,2,0.61,0.31,0.3765781349484151
100% Corpus,2,0.61,0.61,0.3775029684043779
100% Corpus,2,0.61,0.9099999999999999,0.3948650850427914
100% Corpus,2,0.61,symmetric,0.3775029684043779
100% Corpus,2,0.9099999999999999,0.01,0.37750296840437797
100% Corpus,2,0.9099999999999999,0.31,0.3775029684043779
100% Corpus,2,0.9099999999999999,0.61,0.3775029684043779
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3948650850427914
100% Corpus,2,0.9099999999999999,symmetric,0.3775029684043779
100% Corpus,2,symmetric,0.01,0.38253597409207046
100% Corpus,2,symmetric,0.31,0.3765781349484151
100% Corpus,2,symmetric,0.61,0.3765781349484151
100% Corpus,2,symmetric,0.9099999999999999,0.3765781349484151
100% Corpus,2,symmetric,symmetric,0.3765781349484151
100% Corpus,2,asymmetric,0.01,0.38572480967885503
100% Corpus,2,asymmetric,0.31,0.36290423616684825
100% Corpus,2,asymmetric,0.61,0.39317827256732507
100% Corpus,2,asymmetric,0.9099999999999999,0.3996702435043532
100% Corpus,2,asymmetric,symmetric,0.36290423616684825
100% Corpus,3,0.01,0.01,0.41468476685062194
100% Corpus,3,0.01,0.31,0.3647990999780652
100% Corpus,3,0.01,0.61,0.3624167281325306
100% Corpus,3,0.01,0.9099999999999999,0.3498680536397707
100% Corpus,3,0.01,symmetric,0.36064598285701505
100% Corpus,3,0.31,0.01,0.4105444663240115
100% Corpus,3,0.31,0.31,0.38382641845236654
100% Corpus,3,0.31,0.61,0.3713449422594986
100% Corpus,3,0.31,0.9099999999999999,0.36702662840434047
100% Corpus,3,0.31,symmetric,0.3821171774030902
100% Corpus,3,0.61,0.01,0.41967339862792885
100% Corpus,3,0.61,0.31,0.39105423525008964
100% Corpus,3,0.61,0.61,0.38559682187128214
